阿拉伯語	阿拉伯语	Ālābóyǔ
民俗	民俗	mínsú
民用	民用	mínyòng
民眾	民众	mínzhòng
敏捷	敏捷	mǐnjié
名副其實	名副其实	míngfùqíshí
名貴	名贵	míngguì
敏銳	敏锐	mǐnruì
名利	名利	mínglì
名聲	名声	míngshēng
名言	名言	míngyán
名氣	名气	míngqi
明朗	明朗	mínglǎng
明媚	明媚	míngmèi
名著	名著	míngzhù
銘記	铭记	míngjì
明智	明智	míngzhì
命	命	mìng
命名	命名	mìng míng
命題	命题	mìng tí
摸索	摸索	mōsuo
模擬	模拟	mónǐ
磨難	磨难	mónàn
磨損	磨损	mósǔn
磨合	磨合	móhé
蘑菇	蘑菇	mógu
魔鬼	魔鬼	móguǐ
魔術	魔术	móshù
抹	抹	mǒ
沒落	没落	mòluò
末日	末日	mòrì
陌生	陌生	mòshēng
莫非	莫非	mòfēi
莫過於	莫过于	mòguòyú
莫名其妙	莫名其妙	mòmíng-qímiào
漠然	漠然	mòrán
墨	墨	mò
默讀	默读	mòdú
默默無聞	默默无闻	mòmò-wúwén
謀害	谋害	móuhài
謀求	谋求	móuqiú
默契	默契	mòqì
謀生	谋生	móushēng
畝	亩	mǔ
牡丹	牡丹	mǔdan
木板	木板	mùbǎn
木材	木材	mùcái
木匠	木匠	mùjiang
目不轉睛	目不转睛	mùbùzhuǎnjīng
木偶	木偶	mùǒu
目瞪口呆	目瞪口呆	mùdèng-kǒudāi
目睹	目睹	mùdǔ
目的地	目的地	mùdìdì
目錄	目录	mùlù
目中無人	目中无人	mùzhōng-wúrén
沐浴露	沐浴露	mùyùlù
牧場	牧场	mùchǎng
募捐	募捐	mù juān
牧民	牧民	mùmín
墓地	墓地	mùdì
墓碑	墓碑	mùbēi
穆斯林	穆斯林	Mùsīlín
拿手	拿手	náshǒu
幕後	幕后	mùhòu
幕	幕	mù
吶喊	呐喊	nàhǎn
納悶兒	纳闷儿	nàmènr5
哪知道	哪知道	nǎzhīdào
納稅	纳税	nà shuì
納入	纳入	nàrù
納稅人	纳税人	nàshuìrén
乃至	乃至	nǎizhì
耐	耐	nài
耐人尋味	耐人寻味	nàirénxúnwèi
乃	乃	nǎi
耐性	耐性	nàixìng
難處	难处	nánchu
南瓜	南瓜	nángua
難得一見	难得一见	nándéyījiàn
難怪	难怪	nánguài
難點	难点	nándiǎn
難堪	难堪	nánkān
難關	难关	nánguān
難為情	难为情	nánwéiqíng
難以想象	难以想象	nányǐxiǎngxiàng
難說	难说	nánshuō
撓	挠	náo
難以置信	难以置信	nányǐzhìxìn
惱羞成怒	恼羞成怒	nǎoxiū-chéngnù
腦海	脑海	nǎohǎi
鬧事	闹事	nào shì
腦筋	脑筋	nǎojīn
鬧著玩兒	闹着玩儿	nàozhewánr5
內閣	内阁	nèigé
內存	内存	nèicún
內行	内行	nèiháng
內涵	内涵	nèihán
內幕	内幕	nèimù
內向	内向	nèixiàng
嫩	嫩	nèn
內需	内需	nèixū
能耗	能耗	nénghào
能人	能人	néngrén
能源	能源	néngyuán
能耐	能耐	néngnai
泥潭	泥潭	nítán
尼龍	尼龙	nílóng
泥土	泥土	nítǔ
擬定	拟定	nǐdìng
擬	拟	nǐ
匿名	匿名	nìmíng
逆	逆	nì
年畫	年画	niánhuà
年限	年限	niánxiàn
年薪	年薪	niánxīn
年夜飯	年夜饭	niányèfàn
年邁	年迈	niánmài
年終	年终	niánzhōng
念念不忘	念念不忘	niànniàn-bùwàng
黏	黏	nián
念書	念书	niàn shū
念頭	念头	niàntou
釀造	酿造	niàngzào
娘	娘	niáng
鳥巢	鸟巢	niǎocháo
捏	捏	niē
尿	尿	niào
凝聚	凝聚	níngjù
凝固	凝固	nínggù
寧可	宁可	nìngkě
擰	拧	níng
寧願	宁愿	nìngyuàn
扭曲	扭曲	niǔqū
扭頭	扭头	niǔ tóu
扭轉	扭转	niǔzhuǎn
紐帶	纽带	niǔdài
紐扣	纽扣	niǔkòu
農場	农场	nóngchǎng
農曆	农历	nónglì
農民工	农民工	nóngmíngōng
濃縮	浓缩	nóngsuō
農作物	农作物	nóngzuòwù
濃郁	浓郁	nóngyù
濃厚	浓厚	nónghòu
濃重	浓重	nóngzhòng
弄虛作假	弄虚作假	nòngxū-zuòjiǎ
奴隸	奴隶	núlì
暖烘烘	暖烘烘	nuǎnhōnghōng
虐待	虐待	nüèdài
女婿	女婿	nǚxu
諾言	诺言	nuòyán
哦	哦	ó
挪	挪	nuó
毆打	殴打	ōudǎ
嘔吐	呕吐	ǒutù
拍板	拍板	pāibǎn
拍賣	拍卖	pāimài
趴	趴	pā
排放	排放	páifàng
拍戲	拍戏	pāi xì
排練	排练	páiliàn
排斥	排斥	páichì
徘徊	徘徊	páihuái
派別	派别	pàibié
牌照	牌照	páizhào
派遣	派遣	pàiqiǎn
攀	攀	pān
攀昇	攀升	pānshēng
盤算	盘算	pánsuan
盤	盘	pán
判處	判处	pànchǔ
判定	判定	pàndìng
盼	盼	pàn
判決	判决	pànjué
叛逆	叛逆	pànnì
龐大	庞大	pángdà
旁觀	旁观	pángguān
拋	抛	pāo
拋開	抛开	pāokāi
刨	刨	páo
拋棄	抛弃	pāoqì
跑車	跑车	pǎochē
跑道	跑道	pǎodào
跑龍套	跑龙套	pǎo lóngtào
泡沫	泡沫	pàomò
陪伴	陪伴	péibàn
陪葬	陪葬	péizàng
賠錢	赔钱	péi qián
胚胎	胚胎	pēitāi
佩服	佩服	pèifu
配件	配件	pèijiàn
配送	配送	pèisòng
配偶	配偶	pèiǒu
配音	配音	pèi yīn
噴泉	喷泉	pēnquán
抨擊	抨击	pēngjī
烹調	烹调	pēngtiáo
鵬程萬里	鹏程万里	péngchéng-wànlǐ
蓬勃	蓬勃	péngbó
膨脹	膨胀	péngzhàng
捧	捧	pěng
捧場	捧场	pěng chǎng
碰釘子	碰钉子	pèng dīngzi
碰巧	碰巧	pèngqiǎo
碰上	碰上	pèngshàng
碰撞	碰撞	pèngzhuàng
批發	批发	pīfā
批判	批判	pīpàn
劈	劈	pī
披露	披露	pīlù
皮帶	皮带	pídài
疲憊不堪	疲惫不堪	píbèibùkān
疲憊	疲惫	píbèi
疲倦	疲倦	píjuàn
疲勞	疲劳	píláo
脾	脾	pí
匹配	匹配	pǐpèi
譬如	譬如	pìrú
媲美	媲美	pìměi
譬如說	譬如说	pìrúshuō
僻靜	僻静	pìjìng
偏差	偏差	piānchā
偏方	偏方	piānfāng
偏見	偏见	piānjiàn
片子	片子	piānzi
偏僻	偏僻	piānpì
偏偏	偏偏	piānpiān
偏向	偏向	piānxiàng
篇幅	篇幅	piānfu
偏遠	偏远	piānyuǎn
騙人	骗人	piàn rén
片段	片段	piànduàn
漂	漂	piào
飄	飘	piāo
票房	票房	piàofáng
撇	撇	piē
拼搏	拼搏	pīnbó
貧富	贫富	pínfù
拼命	拼命	pīn mìng
貧窮	贫穷	pínqióng
頻頻	频频	pínpín
品嘗	品尝	pǐncháng
頻率	频率	pínlǜ
品德	品德	pǐndé
品行	品行	pǐnxíng
品位	品位	pǐnwèi
聘用	聘用	pìnyòng
乒乓球	乒乓球	pīngpāngqiú
聘	聘	pìn
聘任	聘任	pìnrèn
平常心	平常心	píngchángxīn
平淡	平淡	píngdàn
平和	平和	pínghé
平價	平价	píngjià
平面	平面	píngmiàn
平民	平民	píngmín
平息	平息	píngxī
評定	评定	píngdìng
評論員	评论员	pínglùnyuán
平日	平日	píngrì
評判	评判	píngpàn
評審	评审	píngshěn
憑借	凭借	píngjiè
憑著	凭着	píngzhe
評委	评委	píngwěi
憑證	凭证	píngzhèng
萍水相逢	萍水相逢	píngshuǐ-xiāngféng
瓶頸	瓶颈	píngjǐng
潑冷水	泼冷水	pō lěngshuǐ
迫不及待	迫不及待	pòbùjídài
頗	颇	pō
迫害	迫害	pòhài
破案	破案	pò àn
破除	破除	pòchú
破解	破解	pòjiě
破舊	破旧	pòjiù
迫使	迫使	pòshǐ
破裂	破裂	pòliè
破碎	破碎	pòsuì
魄力	魄力	pòlì
破滅	破灭	pòmiè
撲面而來	扑面而来	pūmiànérlái
撲克	扑克	pūkè
鋪路	铺路	pū lù
樸實	朴实	pǔshí
菩薩	菩萨	púsà
樸素	朴素	pǔsù
普通人	普通人	pǔtōngrén
譜	谱	pǔ
瀑布	瀑布	pùbù
七嘴八舌	七嘴八舌	qīzuǐ-bāshé
沏	沏	qī
凄涼	凄凉	qīliáng
期盼	期盼	qīpàn
欺騙	欺骗	qīpiàn
漆	漆	qī
欺詐	欺诈	qīzhà
齊心協力	齐心协力	qíxīn-xiélì
其間	其间	qíjiān
其後	其后	qíhòu
奇花異草	奇花异草	qíhuāyìcǎo
奇跡	奇迹	qíjì
歧視	歧视	qíshì
奇特	奇特	qítè
祈禱	祈祷	qídǎo
棋	棋	qí
棋子	棋子	qízǐ
旗袍	旗袍	qípáo
旗幟	旗帜	qízhì
乞丐	乞丐	qǐgài
乞討	乞讨	qǐtǎo
豈有此理	岂有此理	qǐyǒu-cǐlǐ
乞求	乞求	qǐqiú
啟蒙	启蒙	qǐ méng
啟迪	启迪	qǐdí
啟示	启示	qǐshì
起步	起步	qǐ bù
起草	起草	qǐ cǎo
起程	起程	qǐ chéng
起初	起初	qǐchū
起勁	起劲	qǐjìn
起跑線	起跑线	qǐpǎoxiàn
起源	起源	qǐyuán
起伏	起伏	qǐfú
氣憤	气愤	qìfèn
氣管	气管	qìguǎn
氣餒	气馁	qìněi
氣泡	气泡	qìpào
氣派	气派	qìpài
氣勢	气势	qìshì
氣味	气味	qìwèi
氣息	气息	qìxī
氣魄	气魄	qìpò
氣質	气质	qìzhì
迄今為止	迄今为止	qìjīnwéizhǐ
契約	契约	qìyuē
契機	契机	qìjī
迄今	迄今	qìjīn
器材	器材	qìcái
器械	器械	qìxiè
卡	卡	kǎ
掐	掐	qiā
洽談	洽谈	qiàtán
恰到好處	恰到好处	qiàdào-hǎochù
卡子	卡子	qiǎzi
恰恰相反	恰恰相反	qiàqiàxiāngfǎn
恰如其分	恰如其分	qiàrú-qífèn
恰巧	恰巧	qiàqiǎo
千變萬化	千变万化	qiānbiàn-wànhuà
千家萬戶	千家万户	qiānjiā-wànhù
千方百計	千方百计	qiānfāng-bǎijì
千鈞一髮	千钧一发	qiānjūn-yīfà
千軍萬馬	千军万马	qiānjūn-wànmǎ
遷就	迁就	qiānjiù
遷	迁	qiān
遷移	迁移	qiānyí
牽扯	牵扯	qiānchě
牽涉	牵涉	qiānshè
牽掛	牵挂	qiānguà
牽頭	牵头	qiān tóu
鉛	铅	qiān
牽制	牵制	qiānzhì
謙遜	谦逊	qiānxùn
簽署	签署	qiānshǔ
前輩	前辈	qiánbèi
前不久	前不久	qiánbùjiǔ
前赴後繼	前赴后继	qiánfù-hòujì
簽	签	qiān
前期	前期	qiánqī
前所未有	前所未有	qiánsuǒwèiyǒu
前任	前任	qiánrèn
前無古人	前无古人	qiánwúgǔrén
前夕	前夕	qiánxī
前臺	前台	qiántái
前線	前线	qiánxiàn
前仰後合	前仰后合	qiányǎng-hòuhé
前者	前者	qiánzhě
前沿	前沿	qiányán
虔誠	虔诚	qiánchéng
鉗子	钳子	qiánzi
錢財	钱财	qiáncái
潛能	潜能	qiánnéng
潛艇	潜艇	qiántǐng
潛移默化	潜移默化	qiányí-mòhuà
潛在	潜在	qiánzài
潛水	潜水	qiánshuǐ
譴責	谴责	qiǎnzé
欠缺	欠缺	qiànquē
欠條	欠条	qiàntiáo
嗆	呛	qiāng
歉意	歉意	qiànyì
槍斃	枪毙	qiāngbì
強加	强加	qiángjiā
強勁	强劲	qiángjìng
強項	强项	qiángxiàng
強硬	强硬	qiángyìng
強行	强行	qiángxíng
腔	腔	qiāng
強占	强占	qiángzhàn
強制	强制	qiángzhì
搶奪	抢夺	qiǎngduó
搶眼	抢眼	qiǎngyǎn
敲邊鼓	敲边鼓	qiāo biāngǔ
搶劫	抢劫	qiǎngjié
敲詐	敲诈	qiāozhà
喬裝	乔装	qiáozhuāng
瞧不起	瞧不起	qiáobuqǐ
竅門	窍门	qiàomén
巧合	巧合	qiǎohé
翹	翘	qiào
切除	切除	qiēchú
切斷	切断	qiē duàn
切割	切割	qiēgē
撬	撬	qiào
且	且	qiě
切身	切身	qièshēn
竊取	窃取	qièqǔ
欽佩	钦佩	qīnpèi
侵害	侵害	qīnhài
侵略	侵略	qīnlüè
侵占	侵占	qīnzhàn
親和力	亲和力	qīnhélì
侵權	侵权	qīnquán
親朋好友	亲朋好友	qīnpénghǎoyǒu
親近	亲近	qīnjìn
親戚	亲戚	qīnqi
親情	亲情	qīnqíng
親熱	亲热	qīnrè
親身	亲身	qīnshēn
親手	亲手	qīnshǒu
親生	亲生	qīnshēng
親友	亲友	qīnyǒu
勤工儉學	勤工俭学	qíngōng-jiǎnxué
勤勞	勤劳	qínláo
勤快	勤快	qínkuai
寢室	寝室	qǐnshì
青春期	青春期	qīngchūnqī
青蛙	青蛙	qīngwā
輕而易舉	轻而易举	qīngéryìjǔ
輕蔑	轻蔑	qīngmiè
輕型	轻型	qīngxíng
輕微	轻微	qīngwēi
傾家蕩產	倾家荡产	qīngjiā-dàngchǎn
傾聽	倾听	qīngtīng
傾銷	倾销	qīngxiāo
傾訴	倾诉	qīngsù
傾斜	倾斜	qīngxié
清單	清单	qīngdān
清除	清除	qīngchú
清脆	清脆	qīngcuì
清靜	清静	qīngjìng
清涼	清凉	qīngliáng
清淡	清淡	qīngdàn
清明	清明	qīngmíng
清晰	清晰	qīngxī
清新	清新	qīngxīn
清真寺	清真寺	qīngzhēnsì
情報	情报	qíngbào
情	情	qíng
情不自禁	情不自禁	qíngbùzìjīn
情懷	情怀	qínghuái
情調	情调	qíngdiào
情結	情结	qíngjié
情侶	情侣	qínglǚ
情人	情人	qíngrén
情誼	情谊	qíngyì
情願	情愿	qíngyuàn
請帖	请帖	qǐngtiě
請柬	请柬	qǐngjiǎn
慶典	庆典	qìngdiǎn
慶幸	庆幸	qìngxìng
慶賀	庆贺	qìnghè
丘陵	丘陵	qiūlíng
囚犯	囚犯	qiúfàn
求婚	求婚	qiú hūn
求學	求学	qiúxué
求救	求救	qiújiù
求證	求证	qiúzhèng
求醫	求医	qiúyī
曲線	曲线	qūxiàn
曲折	曲折	qūzhé
求助	求助	qiúzhù
驅動	驱动	qūdòng
屈服	屈服	qūfú
驅逐	驱逐	qūzhú
曲	曲	qū
趨於	趋于	qūyú
取代	取代	qǔdài
取而代之	取而代之	qǔérdàizhī
取經	取经	qǔ jīng
取決於	取决于	qǔjuéyú
取締	取缔	qǔdì
取暖	取暖	qǔ nuǎn
取笑	取笑	qǔxiào
取勝	取胜	qǔshèng
娶	娶	qǔ
去除	去除	qùchú
去向	去向	qùxiàng
去處	去处	qùchù
圈套	圈套	quāntào
趣味	趣味	qùwèi
權衡	权衡	quánhéng
權威	权威	quánwēi
圈子	圈子	quānzi
權益	权益	quányì
全程	全程	quánchéng
全長	全长	quáncháng
全方位	全方位	quánfāngwèi
全局	全局	quánjú
全力以赴	全力以赴	quánlìyǐfù
全能	全能	quánnéng
全心全意	全心全意	quánxīn-quányì
拳	拳	quán
全文	全文	quánwén
勸告	劝告	quàngào
勸說	劝说	quànshuō
勸阻	劝阻	quànzǔ
缺口	缺口	quēkǒu
拳頭	拳头	quántou
確切	确切	quèqiè
缺失	缺失	quēshī
確信	确信	quèxìn
缺席	缺席	quē xí
確診	确诊	quèzhěn
確鑿	确凿	quèzáo
燃放	燃放	ránfàng
燃氣	燃气	ránqì
燃油	燃油	rányóu
讓步	让步	ràng bù
嚷	嚷	rǎng
饒	饶	ráo
擾亂	扰乱	rǎoluàn
饒恕	饶恕	ráoshù
繞行	绕行	ràoxíng
惹	惹	rě
熱潮	热潮	rècháo
熱氣	热气	rèqì
熱帶	热带	rèdài
熱騰騰	热腾腾	rèténgténg
熱衷	热衷	rèzhōng
熱氣球	热气球	rèqìqiú
人道	人道	réndào
人次	人次	réncì
人格	人格	réngé
人工智能	人工智能	réngōngzhìnéng
人均	人均	rénjūn
人品	人品	rénpǐn
人情	人情	rénqíng
人氣	人气	rénqì
人身	人身	rénshēn
人事	人事	rénshì
人手	人手	rénshǒu
人體	人体	réntǐ
人為	人为	rénwéi
人文	人文	rénwén
人行道	人行道	rénxíngdào
人選	人选	rénxuǎn
人緣兒	人缘儿	rényuánr5
人造	人造	rénzào
人性	人性	rénxing
人質	人质	rénzhì
仁慈	仁慈	réncí
忍飢挨餓	忍饥挨饿	rěnjī-áiè
忍耐	忍耐	rěnnài
忍心	忍心	rěn xīn
認錯	认错	rèn cuò
認證	认证	rènzhèng
任命	任命	rènmìng
認知	认知	rènzhī
任期	任期	rènqī
任人宰割	任人宰割	rènrén-zǎigē
任意	任意	rènyì
任職	任职	rèn zhí
韌性	韧性	rènxìng
日程	日程	rìchéng
日復一日	日复一日	rìfùyīrì
日前	日前	rìqián
日後	日后	rìhòu
日趨	日趋	rìqū
日新月異	日新月异	rìxīn-yuèyì
日益	日益	rìyì
榮獲	荣获	rónghuò
榮幸	荣幸	róngxìng
榮譽	荣誉	róngyù
容光煥發	容光焕发	róngguāng-huànfā
容忍	容忍	róngrěn
容量	容量	róngliàng
容納	容纳	róngnà
容顏	容颜	róngyán
容許	容许	róngxǔ
溶解	溶解	róngjiě
融	融	róng
融化	融化	rónghuà
冗長	冗长	rǒngcháng
融洽	融洽	róngqià
柔和	柔和	róuhé
柔軟	柔软	róuruǎn
如果說	如果说	rúguǒshuō
揉	揉	róu
如實	如实	rúshí
如意	如意	rú yì
如願以償	如愿以偿	rúyuàn-yǐcháng
儒家	儒家	Rújiā
如醉如痴	如醉如痴	rúzuì-rúchī
入場	入场	rù chǎng
儒學	儒学	rúxué
入場券	入场券	rùchǎngquàn
入侵	入侵	rùqīn
入境	入境	rù jìng
入選	入选	rù xuǎn
軟弱	软弱	ruǎnruò
軟實力	软实力	ruǎnshílì
瑞雪	瑞雪	ruìxuě
潤	润	rùn
若干	若干	ruògān
弱勢	弱势	ruòshì
弱點	弱点	ruòdiǎn
撒謊	撒谎	sā huǎng
撒	撒	sā
賽車	赛车	sàichē
三番五次	三番五次	sānfān-wǔcì
賽跑	赛跑	sàipǎo
三角	三角	sānjiǎo
三維	三维	sānwéi
散布	散布	sànbù
桑拿	桑拿	sāngná
嗓子	嗓子	sǎngzi
散發	散发	sànfā
喪生	丧生	sàng shēng
騷亂	骚乱	sāoluàn
騷擾	骚扰	sāorǎo
掃除	扫除	sǎochú
掃描	扫描	sǎomiáo
掃興	扫兴	sǎo xìng
嫂子	嫂子	sǎozi
掃墓	扫墓	sǎo mù
殺害	杀害	shāhài
僧人	僧人	sēngrén
殺手	杀手	shāshǒu
沙龍	沙龙	shālóng
紗	纱	shā
沙灘	沙滩	shātān
砂糖	砂糖	shātáng
剎車	刹车	shāchē
鯊魚	鲨鱼	shāyú
傻瓜	傻瓜	shǎguā
篩	筛	shāi
曬太陽	晒太阳	shài tàiyang
山川	山川	shānchuān
篩選	筛选	shāixuǎn
山岡	山冈	shāngāng
山嶺	山岭	shānlǐng
山頂	山顶	shāndǐng
山寨	山寨	shānzhài
山路	山路	shānlù
刪除	删除	shānchú
刪	删	shān
煽動	煽动	shāndòng
閃爍	闪烁	shǎnshuò
善意	善意	shànyì
善	善	shàn
擅長	擅长	shàncháng
擅自	擅自	shànzì
膳食	膳食	shànshí
贍養	赡养	shànyǎng
傷殘	伤残	shāngcán
傷痕	伤痕	shānghén
傷腦筋	伤脑筋	shāng nǎojīn
傷勢	伤势	shāngshì
傷感	伤感	shānggǎn
商販	商贩	shāngfàn
商討	商讨	shāngtǎo
商賈	商贾	shānggǔ
上報	上报	shàng bào
上場	上场	shàng chǎng
上方	上方	shàngfāng
上崗	上岗	shàng gǎng
上火	上火	shàng huǒ
上空	上空	shàngkōng
上流	上流	shàngliú
上任	上任	shàng rèn
上期	上期	shàngqī
上述	上述	shàngshù
上司	上司	shàngsi
上訴	上诉	shàngsù
上調	上调	shàngdiào
上頭	上头	shàngtou
上限	上限	shàngxiàn
上旬	上旬	shàngxún
上癮	上瘾	shàng yǐn
上游	上游	shàngyóu
上映	上映	shàngyìng
尚	尚	shàng
尚未	尚未	shàngwèi
捎	捎	shāo
燒毀	烧毁	shāohuǐ
燒烤	烧烤	shāokǎo
稍後	稍后	shāohòu
稍稍	稍稍	shāoshāo
少見	少见	shǎojiàn
少不了	少不了	shǎobuliǎo
少量	少量	shǎoliàng
稍候	稍候	shāohòu
少林寺	少林寺	Shàolínsì
少有	少有	shǎoyǒu
奢侈	奢侈	shēchǐ
少女	少女	shàonǚ
奢望	奢望	shēwàng
設	设	shè
設定	设定	shèdìng
設法	设法	shèfǎ
社交	社交	shèjiāo
社會主義	社会主义	shèhuìzhǔyì
社論	社论	shèlùn
社團	社团	shètuán
攝氏度	摄氏度	shèshìdù
誰知道	谁知道	shuí zhīdào
涉嫌	涉嫌	shèxián
申辦	申办	shēnbàn
申領	申领	shēnlǐng
伸手	伸手	shēn shǒu
伸縮	伸缩	shēnsuō
申報	申报	shēnbào
伸張	伸张	shēnzhāng
身不由己	身不由己	shēnbùyóujǐ
身軀	身躯	shēnqū
身價	身价	shēnjià
身心	身心	shēnxīn
身影	身影	shēnyǐng
身子	身子	shēnzi
紳士	绅士	shēnshì
深切	深切	shēnqiè
深情	深情	shēnqíng
深奧	深奥	shēnào
深入人心	深入人心	shēnrù-rénxīn
深受	深受	shēnshòu
深信	深信	shēnxìn
深思	深思	shēnsī
深遠	深远	shēnyuǎn
深夜	深夜	shēnyè
神氣	神气	shénqì
神聖	神圣	shénshèng
神仙	神仙	shénxian
神態	神态	shéntài
審	审	shěn
審定	审定	shěndìng
審核	审核	shěnhé
審美	审美	shěnměi
審批	审批	shěnpī
審判	审判	shěnpàn
腎	肾	shèn
審視	审视	shěnshì
甚至於	甚至于	shènzhìyú
滲透	渗透	shèntòu
慎重	慎重	shènzhòng
滲	渗	shèn
升溫	升温	shēng wēn
生理	生理	shēnglǐ
生機	生机	shēngjī
生命線	生命线	shēngmìngxiàn
生平	生平	shēngpíng
生怕	生怕	shēngpà
生前	生前	shēngqián
生態	生态	shēngtài
生死	生死	shēng-sǐ
生效	生效	shēng xiào
生物	生物	shēngwù
生涯	生涯	shēngyá
生硬	生硬	shēngyìng
生育	生育	shēngyù
聲稱	声称	shēngchēng
聲譽	声誉	shēngyù
聲望	声望	shēngwàng
繩子	绳子	shéngzi
牲畜	牲畜	shēngchù
省略	省略	shěnglüè
省事	省事	shěngshì
勝出	胜出	shèngchū
聖賢	圣贤	shèngxián
勝任	胜任	shèngrèn
盛大	盛大	shèngdà
盛會	盛会	shènghuì
盛氣凌人	盛气凌人	shèngqì-língrén
剩餘	剩余	shèngyú
盛開	盛开	shèngkāi
失傳	失传	shīchuán
屍體	尸体	shītǐ
失控	失控	shī kòng
失利	失利	shī lì
失戀	失恋	shī liàn
失靈	失灵	shī líng
失眠	失眠	shī mián
失明	失明	shī míng
失落	失落	shīluò
失效	失效	shī xiào
失蹤	失踪	shī zōng
失業率	失业率	shīyèlǜ
師範	师范	shīfàn
師長	师长	shīzhǎng
獅子	狮子	shīzi
師資	师资	shīzī
施工	施工	shī gōng
施加	施加	shījiā
施行	施行	shīxíng
施壓	施压	shīyā
濕潤	湿润	shīrùn
濕度	湿度	shīdù
十字路口	十字路口	shízì lùkǒu
時段	时段	shíduàn
時不時	时不时	shíbùshí
時隔	时隔	shígé
時間表	时间表	shíjiānbiǎo
時好時壞	时好时坏	shíhǎoshíhuài
時髦	时髦	shímáo
時尚	时尚	shíshàng
時空	时空	shíkōng
時速	时速	shísù
識別	识别	shíbié
實話	实话	shíhuà
實地	实地	shídì
實話實說	实话实说	shíhuà-shíshuō
實事求是	实事求是	shíshì-qiúshì
實體	实体	shítǐ
實況	实况	shíkuàng
實質	实质	shízhì
實物	实物	shíwù
食宿	食宿	shí-sù
食用	食用	shíyòng
史無前例	史无前例	shǐwúqiánlì
使喚	使唤	shǐhuan
使命	使命	shǐmìng
使者	使者	shǐzhě
士氣	士气	shìqì
示威	示威	shì wēi
示意	示意	shìyì
世代	世代	shìdài
世界級	世界级	shìjièjí
世故	世故	shìgu
世襲	世袭	shìxí
市場經濟	市场经济	shìchǎng jīngjì
勢必	势必	shìbì
勢頭	势头	shìtou
勢不可當	势不可当	shìbùkědāng
事務	事务	shìwù
事態	事态	shìtài
事務所	事务所	shìwùsuǒ
事項	事项	shìxiàng
事跡	事迹	shìjì
侍候	侍候	shìhòu
試探	试探	shìtan
事宜	事宜	shìyí
試行	试行	shìxíng
試用期	试用期	shìyòngqī
試用	试用	shìyòng
視角	视角	shìjiǎo
視覺	视觉	shìjué
視察	视察	shìchá
視線	视线	shìxiàn
視野	视野	shìyě
視力	视力	shìlì
是非	是非	shìfēi
適度	适度	shìdù
柿子	柿子	shìzi
適宜	适宜	shìyí
適時	适时	shìshí
釋放	释放	shìfàng
適量	适量	shìliàng
嗜好	嗜好	shìhào
收復	收复	shōufù
收據	收据	shōujù
收斂	收敛	shōuliǎn
收買	收买	shōumǎi
逝世	逝世	shìshì
收留	收留	shōuliú
收縮	收缩	shōusuō
收視率	收视率	shōushìlǜ
收支	收支	shōuzhī
手臂	手臂	shǒubì
手冊	手册	shǒucè
手動	手动	shǒudòng
手帕	手帕	shǒupà
手腳	手脚	shǒujiǎo
手槍	手枪	shǒuqiāng
手勢	手势	shǒushì
手術室	手术室	shǒushùshì
手腕	手腕	shǒuwàn
手頭	手头	shǒutóu
手藝	手艺	shǒuyì
手掌	手掌	shǒuzhǎng
守候	守候	shǒuhòu
守株待兔	守株待兔	shǒuzhū-dàitù
首創	首创	shǒuchuàng
守護	守护	shǒuhù
首府	首府	shǒufǔ
首批	首批	shǒupī
首飾	首饰	shǒushi
首要	首要	shǒuyào
受過	受过	shòu guò
壽命	寿命	shòumìng
受害人	受害人	shòuhàirén
受害	受害	shòu hài
受賄	受贿	shòu huì
受驚	受惊	shòu jīng
受苦	受苦	shòu kǔ
受理	受理	shòulǐ
受益	受益	shòu yì
授權	授权	shòuquán
受騙	受骗	shòu piàn
售價	售价	shòujià
授予	授予	shòuyǔ
售票	售票	shòu piào
書櫥	书橱	shūchú
書籍	书籍	shūjí
書記	书记	shūji
書面	书面	shūmiàn
書寫	书写	shūxiě
抒情	抒情	shūqíng
梳	梳	shū
樞紐	枢纽	shūniǔ
梳子	梳子	shūzi
梳理	梳理	shūlǐ
舒暢	舒畅	shūchàng
疏導	疏导	shūdǎo
疏散	疏散	shūsàn
疏通	疏通	shūtōng
輸家	输家	shūjia
疏忽	疏忽	shūhu
輸送	输送	shūsòng
輸血	输血	shū xuè
贖	赎	shú
輸液	输液	shū yè
屬性	属性	shǔxìng
曙光	曙光	shǔguāng
暑期	暑期	shǔqī
束縛	束缚	shùfù
樹木	树木	shùmù
樹立	树立	shùlì
樹梢	树梢	shùshāo
樹蔭	树荫	shùyīn
竪	竖	shù
樹枝	树枝	shùzhī
數據庫	数据库	shùjùkù
刷新	刷新	shuāxīn
耍	耍	shuǎ
數額	数额	shùé
耍賴	耍赖	shuǎlài
衰減	衰减	shuāijiǎn
衰竭	衰竭	shuāijié
衰弱	衰弱	shuāiruò
衰老	衰老	shuāilǎo
衰退	衰退	shuāituì
摔跤	摔跤	shuāi jiāo
甩	甩	shuǎi
涮	涮	shuàn
雙胞胎	双胞胎	shuāngbāotāi
拴	拴	shuān
雙邊	双边	shuāngbiān
雙重	双重	shuāngchóng
雙向	双向	shuāngxiàng
霜	霜	shuāng
雙贏	双赢	shuāngyíng
爽快	爽快	shuǎngkuai
水稻	水稻	shuǐdào
水管	水管	shuǐguǎn
水壺	水壶	shuǐhú
水槽	水槽	shuǐcáo
水晶	水晶	shuǐjīng
