阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
隱性	隐性	yǐnxìng	hidden, crypto-, recessive (gene)
隱約	隐约	yǐnyuē	vague, faint, indistinct
癮	瘾	yǐn	addiction, craving
印章	印章	yìnzhāng	seal, signet, chop, stamp, CL:方[fang1]
印刷術	印刷术	yìnshuāshù	printing, printing technology
印證	印证	yìnzhèng	confirm, verify
應有盡有	应有尽有	yīngyǒu-jìnyǒu	everything that should be here is here (idiom), all one can think of is on hand, to have all one needs
英俊	英俊	yīngjùn	handsome
英鎊	英镑	yīngbàng	pound sterling
嬰兒	婴儿	yīngér	babe, baby infant, wean, neonate, papoose, nestling, parvulus, baby, cheeper, child, bantling, nursling, bambino, infant, nurseling, infantile, suckling, chrisom
鷹	鹰	yīng	hawk, eagle, falcon
迎合	迎合	yínghé	to cater to, to pander to
迎	迎	yíng	greet, go to meet, reception, meet face to face, face, receive, welcome, move towards, meet
熒光	荧光	yíngguāng	fluorescence, fluorescent
盈利	盈利	yínglì	profit, gain
營救	营救	yíngjiù	to rescue
贏家	赢家	yíngjia	winner
營造	营造	yíngzào	construct, build
影像	影像	yǐngxiàng	simulacrum, blip, mental image, picture, portrait, video, image
應酬	应酬	yìngchou	social niceties, social interaction, a dinner party
應付	应付	yīngfù	hack, cope_with, treat, stand, bridge_over, come_on, do sth. perfunctorily, cope with, handle, cope, do ... perfunctorily, deal/cope with, cut, make do, deal, deal with, respond
應聘	应聘	yìngpìn	to accept a job offer, to apply for an advertised position
應邀	应邀	yìngyāo	on invitation, at sb.'s invitation, receive an invitation
硬幣	硬币	yìngbì	coin, CL:枚[mei2]
映	映	yìng	to reflect (light), to shine, to project (an image onto a screen etc., old variant of 映[ying4]
硬盤	硬盘	yìngpán	hard disk
擁護	拥护	yōnghù	to endorse, to support
擁擠	拥挤	yōngjǐ	crowded, pushed and squeezed together
庸俗	庸俗	yōngsú	filthy, vulgar, debased
硬朗	硬朗	yìnglang	robust, healthy
永恆	永恒	yǒnghéng	eternalize, perpetual, eternize, eternal
永久	永久	yǒngjiǔ	everlasting, perpetual, lasting, forever, permanent
永不	永不	yǒngbù	never, will never
勇往直前	勇往直前	yǒngwǎng-zhíqián	to advance bravely
勇於	勇于	yǒngyú	be bold in, have the courage to, have courage to, be brave in
涌	涌	yǒng	(used in place names), to bubble up, to rush forth
湧入	涌入	yǒngrù	Influence
涌現	涌现	yǒngxiàn	to emerge in large numbers, to spring up, to emerge prominently
用餐	用餐	yòng cān	to eat a meal
踴躍	踊跃	yǒngyuè	enthusiastical, leap, jump, eager
用人	用人	yòngren	make use of personnel, employ people
用力	用力	yòng lì	exert self, exert oneself, put forth one's strenght, exert self (physically)
用功	用功	yònggōng	study, studious, hardworking, niggle, grind
優	优	yōu	excellent, superior
用意	用意	yòngyì	intention, purpose
優化	优化	yōuhuà	optimization, to optimize, to make superior
優異	优异	yōuyì	excellent, outstanding
優越	优越	yōuyuè	excel, exceed, superior, outstanding, transcend
優雅	优雅	yōuyǎ	graceful, elegant, gracious
憂愁	忧愁	yōuchóu	to be worried
憂慮	忧虑	yōulǜ	to worry, anxiety (about)
悠久	悠久	yōujiǔ	long in time
憂鬱	忧郁	yōuyù	sullen, depressed, melancholy, dejected
悠閒	悠闲	yōuxián	leisurely, carefree, relaxed
尤為	尤为	yóuwéi	especially
由此看來	由此看来	yóucǐkànlái	It seems that it seems
由來	由来	yóulái	origin
由此可見	由此可见	yóucǐ-kějiàn	from this, it can be seen that...
郵編	邮编	yóubiān	postal code, zip code
由衷	由衷	yóuzhōng	heartfelt, sincere, unfeigned
郵政	邮政	yóuzhèng	postal service, postal
猶豫不決	犹豫不决	yóuyù-bùjué	hesitancy, indecision, to waver
猶如	犹如	yóurú	like, as, just as, be just as, be just like/as, be just like
油畫	油画	yóuhuà	canvas, painting, canvass, oil, oil painting, oil_painting, oil paint
遊船	游船	yóuchuán	Boat
遊覽	游览	yóulǎn	go sight-seeing, tour, visit
友情	友情	yǒuqíng	friendly feelings, friendship
友人	友人	yǒurén	friend
友善	友善	yǒushàn	friendly
有待	有待	yǒudài	be pending, await, remain (to be done), remain
有的放矢	有的放矢	yǒudì-fàngshǐ	Title
有機	有机	yǒujī	organic
有口無心	有口无心	yǒukǒu-wúxīn	to speak harshly but without any bad intent (idiom)
有聲有色	有声有色	yǒushēng-yǒusè	having sound and color (idiom), vivid, dazzling
有兩下子	有两下子	yǒu liǎngxiàzi	to have real skill, to know one's stuff
有所不同	有所不同	yǒusuǒbùtóng	to differ to some extent (idiom)
有所	有所	yǒusuǒ	somewhat, to some extent
有望	有望	yǒuwàng	hopeful, promising
有效期	有效期	yǒuxiàoqī	period of validity, sell-by date
有幸	有幸	yǒuxìng	fortunately
有序	有序	yǒuxù	regular, orderly, successive, in order
有益	有益	yǒuyì	profit, benefit, conduce, advantageous, be helpful, conducive, subserve, avail, suit
有意	有意	yǒuyì	have a mind to, be interested in
有朝一日	有朝一日	yǒuzhāo-yīrì	one day, sometime in the future
幼稚	幼稚	yòuzhì	young, childish, puerile
有助於	有助于	yǒuzhùyú	helpful to, lead, advantage, redound, be conducive, conduce, be conducive to, conduce to, sell, contribute to, subserve, avail, contribute
誘餌	诱饵	yòuěr	bait
誘惑	诱惑	yòuhuò	tempt, seduce, lure
誘發	诱发	yòufā	to induce, to cause, to elicit, to trigger
誘人	诱人	yòurén	attractive, alluring, captivating, to attract, to captivate
餘地	余地	yúdì	margin, leeway
餘額	余额	yúé	vacancies yet to be filled, remains, balance, remaining sum
余	余	yú	det.: odd, plus
漁船	渔船	yúchuán	fisherman, fishermen, fisherboat, fisher, fishing boat, wherry
漁民	渔民	yúmín	fisherman, peterman, fisherfolk
逾期	逾期	yú qī	to be overdue, to fail to meet a deadline, to be behind in doing sth
愚蠢	愚蠢	yúchǔn	silly, stupid
愚公移山	愚公移山	Yúgōng-yíshān	the old man moves mountains (idiom), fig. where there's a will, there's a way
輿論	舆论	yúlùn	sense, vox_populi, popular opinion, public opinion, opinion, public_opinion, consensus, vox populi
與此同時	与此同时	yǔcǐtóngshí	at the same time, meanwhile
與其	与其	yǔqí	rather than
與否	与否	yǔfǒu	particle: meaning "whether or not"
與眾不同	与众不同	yǔzhòng-bùtóng	to stand out from the masses (idiom)
與日俱增	与日俱增	yǔrì-jùzēng	to increase steadily, to grow with each passing day
與時俱進	与时俱进	yǔshí-jùjìn	abreast of modern developments, to keep up with the times, progressive, timely
宇宙	宇宙	yǔzhòu	all, cosmic, existence, world, creation, system, macrocosm, metagalactic, nature, cosmos, universal, universe
予以	予以	yǔyǐ	give
浴室	浴室	yùshì	W.C., bathroom, shower room, balneary, water closet, loo, toilet, closet, bath
預定	预定	yùdìng	predetermination, predetermine, forespeak, preordain, engage, budget, reserve, phase, slate, fix in advance, predestine, state, preconcert, prearrange, take, schedule, destine, bespeak, foreordain, predestinate
預感	预感	yùgǎn	to have a premonition, premonition
語氣	语气	yǔqì	mood, tenor, strain, modality, manner of speaking, tone, mode, tone of voice, note
預告	预告	yùgào	to forecast, to predict, advance notice
預見	预见	yùjiàn	envision, predict, foresee, previse, foreknow, prefigure, envisage
預料	预料	yùliào	expect, predict, anticipate
預示	预示	yùshì	to indicate, to foretell, to forebode, to betoken
預賽	预赛	yùsài	preliminary contest
預售	预售	yùshòu	sell in advance
預算	预算	yùsuàn	estimate, forethought, budget, estimation, budgetary
預先	预先	yùxiān	beforehand, in advance
預言	预言	yùyán	to predict, prophecy
慾望	欲望	yùwàng	appetence, indirect request, wish, appetite, stomach, concupiscence, desire, Kama, appetency, hunger, thirst, lech, orexis, rage, passion
遇難	遇难	yù nàn	to perish, to be killed
遇險	遇险	yù xiǎn	to get into difficulties, to meet with danger
寓言	寓言	yùyán	fable, CL:則|则[ze2]
預兆	预兆	yùzhào	omen, sign (of sth yet to occur), prior indication, to foreshadow
遇上	遇上	yùshàng	Encounter
寓意	寓意	yùyì	moral (of a story), lesson to be learned, implication, message, import, metaphorical meaning
愈來愈	愈来愈	yùláiyù	even more, more_and_more, more and more
愈演愈烈	愈演愈烈	yùyǎn-yùliè	ever more critical, problems get more and more intense
癒合	愈合	yùhé	to heal, to fuse
淵源	渊源	yuānyuán	origin, source
冤	冤	yuān	injustice, grievance, wrong, old variant of 冤[yuan1]
元老	元老	yuánlǎo	senior figure, elder, doyen
元首	元首	yuánshǒu	head of state
元宵節	元宵节	Yuánxiāojié	Lantern Festival, the final event of the Spring Festival 春節|春节, on 15th of first month of the lunar calendar
原本	原本	yuánběn	originally, formerly
冤枉	冤枉	yuānwang	to accuse wrongly, to treat unjustly, injustice, wronged, not worthwhile
原材料	原材料	yuáncáiliào	raw materials, unprocessed materials
原地	原地	yuándì	(in) the original place, the place where one currently is, place of origin, local (product)
原創	原创	yuánchuàng	originality, creativity, innovation
原型	原型	yuánxíng	model, prototype, archetype
原裝	原装	yuánzhuāng	genuine, intact in original packaging (not locally assembled and packaged)
原汁原味	原汁原味	yuánzhī-yuánwèi	original, authentic
圓形	圆形	yuánxíng	round, circular
緣分	缘分	yuánfen	fate or chance that brings people together, predestined affinity or relationship, (Budd.) destiny
源泉	源泉	yuánquán	fountainhead, well-spring, water source, fig. origin
源於	源于	yuányú	has its origins in
源頭	源头	yuántóu	source, fountainhead
源源不斷	源源不断	yuányuánbùduàn	a steady flow (idiom), an unending stream
遠程	远程	yuǎnchéng	remote, long distance, long range
遠見	远见	yuǎnjiàn	vision
遠近聞名	远近闻名	yuǎnjìnwénmíng	Far-known
怨恨	怨恨	yuànhèn	to resent, to harbor a grudge against, to loathe, resentment, rancor
怨言	怨言	yuànyán	complaint
怨氣	怨气	yuànqì	grievance, resentment, complaint
院士	院士	yuànshì	academician
約定俗成	约定俗成	yuēdìng-súchéng	established by popular usage (idiom), common usage agreement, customary convention
月初	月初	yuèchū	start of month, early in the month
曰	曰	yuē	say, speak
月票	月票	yuèpiào	monthly ticket
樂器	乐器	yuèqì	chime, axe, musical instrument, instrument
岳父	岳父	yuèfù	wife's father, father-in-law
岳母	岳母	yuèmǔ	wife's mother, mother-in-law
悅耳	悦耳	yuèěr	sweet-sounding, beautiful (of sound)
越發	越发	yuèfā	increasingly, more and more, ever more, all the more
閱歷	阅历	yuèlì	to experience, experience
越過	越过	yuè guò	to cross over, to transcend, to cover distance, to overcome, to rise above
暈倒	晕倒	yūndǎo	to faint, to swoon, to black out, to become unconscious
孕婦	孕妇	yùnfù	pregnant woman
隕石	陨石	yǔnshí	meteorite, meteor, aerolite, stony meteorite
孕育	孕育	yùnyù	to be pregnant, to produce offspring, to nurture (a development, school of thought, artwork etc), fig. replete with (culture etc)
運送	运送	yùnsòng	transport, convey
運河	运河	yùnhé	canal
運營	运营	yùnyíng	to be in operation, to do business, (of train, bus etc) to be in service, operation, service
運轉	运转	yùnzhuǎn	revolve, turn round, work, operate
韻味	韵味	yùnwèi	implicit charm in rhyme or sound, hinted appeal, interest
醞釀	酝酿	yùnniàng	(of alcohol) to ferment, (of a crisis) to be brewing, to mull over (an issue), to hold exploratory discussions
蘊涵	蕴涵	yùnhán	to contain, to accumulate, to embrace, implicit condition, implication, entailment
蘊藏	蕴藏	yùncáng	to hold in store, to contain (untapped reserves etc)
雜亂無章	杂乱无章	záluàn-wúzhāng	disordered and in a mess (idiom), all mixed up and chaotic
雜技	杂技	zájì	acrobatics, CL:場|场[chang3]
雜交	杂交	zájiāo	to hybridize, to crossbreed, promiscuity
砸	砸	zá	tamp, bungle, failure, fall through, smash, pound, fail, break, be bungled, ram
栽	栽	zāi	to grow, to plant, to insert, to force on sb, to fall head first
栽培	栽培	zāipéi	cultivate, grow, foster, train, educate, give/receive patronage
再度	再度	zàidù	once again, anew, eftsoons, second time, again, a second time, once more/again, once more
宰	宰	zǎi	to slaughter livestock, to govern or rule, to cheat customers, imperial official in dynastic China
再現	再现	zàixiàn	to recreate, to reconstruct (a historical relic)
在線	在线	zàixiàn	online
在意	在意	zài yì	take notice of, care about, pay attention to, take ... to heart, care, mind
載體	载体	zàitǐ	carrier (chemistry), vector (epidemiology), vehicle or medium
在職	在职	zàizhí	be on the job
暫	暂	zàn	to scurry, variant of 暫|暂[zan4]
攢	攒	zǎn	to bring together, to collect, to hoard, to accumulate, to save
贊不絕口	赞不绝口	zànbùjuékǒu	to praise without cease (idiom), praise sb to high heaven
贊嘆	赞叹	zàntàn	to exclaim in admiration
贊嘆不已	赞叹不已	Zàntànbùyǐ	to be full of praise (idiom)
贊同	赞同	zàntóng	approve of, endorse
贊許	赞许	zànxǔ	to praise, to laud
贊美	赞美	zànměi	to admire, to praise, to eulogize
贊揚	赞扬	zànyáng	to praise, to approve of, to show approval
葬禮	葬礼	zànglǐ	burial, funeral
遭殃	遭殃	zāo yāng	to suffer a calamity
鑿	凿	záo	chisel, to bore a hole, to chisel or dig, certain, authentic, irrefutable, also pr. [zuo4]
葬	葬	zàng	to bury (the dead), to inter
早日	早日	zǎorì	at an early date, early, soon
早年	早年	zǎonián	early years, adolescence
棗	枣	zǎo	jujube, dates
造假	造假	zàojiǎ	to counterfeit, to pass off a fake as genuine
造價	造价	zàojià	construction cost
造福	造福	zàofú	to benefit (e.g. the people)
造就	造就	zàojiù	bring up, train
噪聲	噪声	zàoshēng	noise
造紙術	造纸术	zàozhǐshù	Papermaking
則	则	zé	then, in that case
噪音	噪音	zàoyīn	dissonance, row, rumour, noise, discord, squeal, discordance, mush, racket
責備	责备	zébèi	to blame, to criticize, condemnation, reproach
責怪	责怪	zéguài	to blame, to rebuke
增收	增收	zēngshōu	Increasing
賊	贼	zéi	thief, traitor, wily, deceitful, evil, extremely
扎根	扎根	zhā gēn	to take root
增添	增添	zēngtiān	increase, accession, throw in, point_up, add, subjoin, addition, lend
閘	闸	zhá	gear, brake, sluice, lock (on waterway), electric switch or circuit breaker
渣子	渣子	zhāzi	Slag
眨眼	眨眼	zhǎ yǎn	to blink, to wink, in the twinkling of an eye
炸	炸	zhà	to deep fry, to explode
詐騙	诈骗	zhàpiàn	to defraud, to swindle, to blackmail
榨	榨	zhà	to press, to extract (juice), device for extracting juice, oils etc
窄	窄	zhǎi	narrow, narrow-minded, badly off
債務	债务	zhàiwù	debt, liabilities
沾	沾	zhān	moisten, daub, get ... out of association, soak, partake, profit from, touch, be stained with
占卜	占卜	zhānbǔ	to divine
沾光	沾光	zhān guāng	to bask in the light, fig. to benefit from association with sb or sth, reflected glory
瞻仰	瞻仰	zhānyǎng	to revere, to admire
粘	粘	zhān	glutinous, sticky, to stick, to adhere, variant of 黏[nian2], to glue, to stick, to paste
斬	斩	zhǎn	to behead (as form of capital punishment), to chop
斬草除根	斩草除根	zhǎncǎo-chúgēn	to cut weeds and eliminate the roots (idiom), to destroy root and branch, to eliminate completely
展出	展出	zhǎnchū	exhibit
盞	盏	zhǎn	m.[general]
展覽會	展览会	zhǎnlǎnhuì	exhibition, show, CL:個|个[ge4]
展望	展望	zhǎnwàng	look into the distance/future
占用	占用	zhànyòng	occupy, take over
嶄新	崭新	zhǎnxīn	newly, bran-new, spick-and-span, spic-and-span, brand-new, spick and span, completely new
站立	站立	zhànlì	to stand, standing, on one's feet
綻放	绽放	zhànfàng	to blossom
張燈結彩	张灯结彩	zhāngdēng-jiécǎi	to be decorated with lanterns and colored banners (idiom)
蘸	蘸	zhàn	to dip in (ink, sauce etc)
張貼	张贴	zhāngtiē	to post (a notice), to advertise
張揚	张扬	zhāngyáng	Zhang Yang (1967-), PRC film director and screenwriter, to display ostentatiously, to bring out into the open, to make public, to spread around, flamboyant, brash
長相	长相	zhǎngxiàng	appearance, looks, profile, countenance
掌管	掌管	zhǎngguǎn	in charge of, to control
帳篷	帐篷	zhàngpeng	tent, CL:頂|顶[ding3],座[zuo4]
長輩	长辈	zhǎngbèi	seniority, better, elder, superior, senior, elder member of family, eldership, elder generation, superordinate, higher-up
帳子	帐子	zhàngzi	mosquito net, CL:頂|顶[ding3]
賬單	账单	zhàngdān	bill
脹	胀	zhàng	dropsical, swollen, to swell, to be bloated
賬號	账号	zhànghào	account, username
招標	招标	zhāo biāo	invite tenders/bids
招待	招待	zhāodài	receive (guests), serve (customers)
招待會	招待会	zhāodàihuì	reception, CL:個|个[ge4],次[ci4]
招募	招募	zhāomù	recruit, enlist
招攬	招揽	zhāolǎn	to attract (customers), to drum up (trade)
招牌	招牌	zhāopai	plate, sign, shop sign, fascia, signboard, placard, facia, nameboard
朝氣蓬勃	朝气蓬勃	zhāoqì-péngbó	full of youthful energy (idiom), vigorous, energetic, a bright spark
招數	招数	zhāoshù	move (in chess, on stage, in martial arts), gambit, trick, scheme, movement, same as 著數|着数[zhao1 shu4]
朝三暮四	朝三暮四	zhāosān-mùsì	lit. say three in the morning but four in the evening (idiom), to change sth that is already settled upon, indecisive, to blow hot and cold
朝夕相處	朝夕相处	zhāoxīxiāngchǔ	Get along the eve
招收	招收	zhāoshōu	recruit, take in
著迷	着迷	zháo mí	to be fascinated, to be captivated
沼澤	沼泽	zhǎozé	marsh, swamp, wetlands, glade
兆頭	兆头	zhàotou	omen, portent, sign
召集	召集	zhàojí	call together, convene
照辦	照办	zhào bàn	to follow the rules, to do as instructed, to play by the book, to comply with a request
照常	照常	zhàocháng	as usual
照例	照例	zhàolì	as a rule, as usual, usually
照料	照料	zhàoliào	to tend, to take care of sb
罩	罩	zhào	cover, fish trap (basket), shade
照明	照明	zhàomíng	illuminate
肇事	肇事	zhàoshì	to cause trouble, to provoke a disturbance
折騰	折腾	zhēteng	to toss from side to side (e.g. sleeplessly), to repeat sth over and over again, to torment sb, to play crazy, to squander (time, money)
遮	遮	zhē	to cover up (a shortcoming), to screen off, to hide, to conceal
遮蓋	遮盖	zhēgài	to hide, to cover (one's tracks)
折合	折合	zhéhé	to convert into, to amount to, to be equivalent to
折疊	折叠	zhédié	to fold, collapsible, folding (bicycle, antenna, bed etc)
折磨	折磨	zhémo	to persecute, to torment
折扣	折扣	zhékòu	allowance, rebate, price reduction, discount, agio, reduction, deduction, percentage
折射	折射	zhéshè	to refract, refraction, to reflect (in the figurative sense: to show the nature of)
這會兒	这会儿	zhèhuìr5	(coll.) now, this moment, also pr. [zhe4 hui3 r5]
這樣一來	这样一来	zhèyàngyīlái	thus
針鋒相對	针锋相对	zhēnfēng-xiāngduì	to oppose each other with equal harshness (idiom), tit for tat, measure for measure
偵察	侦察	zhēnchá	to investigate a crime, to scout, to reconnoiter, reconnaissance, detection, a scout
針灸	针灸	zhēnjiǔ	acupuncture and moxibustion, to give or have acupuncture and moxibustion
珍藏	珍藏	zhēncáng	collection, to collect (valuables)
珍重	珍重	zhēnzhòng	precious, extremely valuable, (honorific) Please take good care of yourself!
珍視	珍视	zhēnshì	to place great importance on, to treasure
真空	真空	zhēnkōng	vacuum
真假	真假	zhēnjiǎ	genuine or fake, true or false
真情	真情	zhēnqíng	real situation, the truth
真心	真心	zhēnxīn	sincere, genuine, true
真是的	真是的	zhēnshide	Really! (interj. of annoyance or frustration)
診所	诊所	zhěnsuǒ	clinic
真摯	真挚	zhēnzhì	sincere, sincerity
枕頭	枕头	zhěntou	pillow
陣營	阵营	zhènyíng	group of people, camp, faction, sides in a dispute
陣容	阵容	zhènróng	troop arrangement, battle formation, lineup (of a sports team etc)
振興	振兴	zhènxīng	Zhengxing district of Dandong city 丹東市|丹东市[Dan1 dong1 shi4], Liaoning, to revive, to revitalize, to invigorate, to re-energize
振作	振作	zhènzuò	to bestir oneself, to pull oneself together, to cheer up, to uplift, to stimulate
振奮	振奋	zhènfèn	to stir oneself up, to raise one's spirits, to inspire
震動	震动	zhèndòng	shake, shock, vibrate
震	震	zhèn	to shake, to vibrate, to jolt, to quake, excited, shocked, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder, ☳
震撼	震撼	zhènhàn	shock, shake
鎮定	镇定	zhèndìng	calm, unperturbed, cool
爭吵	争吵	zhēngchǎo	quarrel, wrangle
爭端	争端	zhēngduān	dispute, controversy, conflict
爭分奪秒	争分夺秒	zhēngfēn-duómiǎo	lit. fight minutes, snatch seconds (idiom), a race against time, making every second count
爭光	争光	zhēng guāng	to win an honor, to strive to win a prize
爭氣	争气	zhēng qì	to work hard for sth, to resolve on improvement, determined not to fall short
爭先恐後	争先恐后	zhēngxiān-kǒnghòu	striving to be first and fearing to be last (idiom), outdoing one another
征	征	zhēng	levy, impose, collect, solicit, call-up, ask for, draft, enrollenrol
爭執	争执	zhēngzhí	to dispute, to disagree, to argue opinionatedly, to wrangle
徵收	征收	zhēngshōu	levy, collect
徵集	征集	zhēngjí	to collect, to recruit
癥結	症结	zhēngjié	hard lump in the abdomen (in Chinese medicine), crux of an issue, main point in an argument, sticking point, deadlock in negotiations
睜	睁	zhēng	open, open (the eyes)
掙扎	挣扎	zhēngzhá	pull, buffet, flounder, labour, scrabble, struggle, worry, twist, grapple, tug, baffle, touse, wallow, flounce, writhe, welter, agonize
拯救	拯救	zhěngjiù	spare, help, extricate, rescue, save, deliver
蒸	蒸	zhēng	to evaporate, (of cooking) to steam, torch made from hemp stalks or bamboo (old), finely chopped firewood (old)
整合	整合	zhěnghé	integrate
整潔	整洁	zhěngjié	neatly, tidy
正面	正面	zhèngmiàn	right side, head, head-on, face, front, the right side, facade, obverse/right side, the obverse side, frontispiece, frontal, frontage, obverse side, obverse
正能量	正能量	zhèngnéngliàng	positive energy
正視	正视	zhèngshì	face squarely, face, face up to, look squarely at, envisage
正直	正直	zhèngzhí	upright, upstanding, honest
正宗	正宗	zhèngzōng	orthodox school, fig. traditional, old school, authentic, genuine
整數	整数	zhěngshù	whole number, integer (math.), round figure
鄭重	郑重	zhèngzhòng	serious, solemn
之	之	zhī	it, him, her, this
證人	证人	zhèngren	witness
支票	支票	zhīpiào	check (bank), cheque, CL:本[ben3]
之所以	之所以	zhīsuǒyǐ	conj.: why
汁	汁	zhī	juice
支柱	支柱	zhīzhù	mainstay, pillar, prop, backbone
芝麻	芝麻	zhīma	sesame (seed)
芝士	芝士	zhīshì	cheese (loanword)
知覺	知觉	zhījué	perception, consciousness
知己	知己	zhījǐ	to know oneself, to be intimate or close, intimate friend
知識分子	知识分子	zhīshifènzǐ	wig, intellectual, educated person, educated person (high school or college equivalent), intellect, intelligentsia, clerisy
知足	知足	zhīzú	content with one's situation, to know contentment (hence happiness)
脂肪	脂肪	zhīfáng	grease, fat, axunge, adipose, fatness, avoirdupois, fattiness, adipose tissue, fatty tissue
肢體	肢体	zhītǐ	member, limbs and trunk, solid body substance, body, subfigure, limbs
執意	执意	zhíyì	insist on, be bent on
執照	执照	zhízhào	endorsement, charter, countenance, imprimatur, permit, warrant, sanction, qualification, certificate, licence, license
執法	执法	zhífǎ	to enforce a law, law enforcement
執著	执着	zhízhuó	rigid, punctilious
直奔	直奔	zhíbèn	to go straight to, to make a beeline for
直觀	直观	zhíguān	direct observation, directly perceived through the senses, intuitive, audiovisual
直達	直达	zhídá	to go nonstop to, through (as in 'through train'), nonstop
直徑	直径	zhíjìng	diameter
直視	直视	zhíshì	to look straight at
直覺	直觉	zhíjué	intuition
值錢	值钱	zhíqián	valuable, costly, expensive
職權	职权	zhíquán	authority, power over others
直至	直至	zhízhì	lasting until, up till (the present)
職業病	职业病	zhíyèbìng	occupational disease
止步	止步	zhǐ bù	to halt, to stop, to go no farther
職員	职员	zhíyuán	employee, servant, official, staff member, retainer, functionary, operative, office employees, officeholder, personnel, officer, staff_member, office worker, clerk, staffer
止血	止血	zhǐxuè	to staunch (bleeding), hemostatic (drug)
止咳	止咳	zhǐké	to suppress coughing
旨在	旨在	zhǐzài	to have as its purpose, to be intended to, to aim to (do sth)
指點	指点	zhǐdiǎn	to point out, to indicate, to give directions, to show how (to do sth), to censure, to pick at
指令	指令	zhǐlìng	directive, instruction, dictation, bid, decree, rescript, fiat, injunction, dictate, instructions, order, bidding, mandate, command, edict
指教	指教	zhǐjiào	to give advice or comments
指南針	指南针	zhǐnánzhēn	compass
指手畫腳	指手画脚	zhǐshǒu-huàjiǎo	to gesticulate while talking (idiom), to explain by waving one's hands, to criticize or give orders summarily
指望	指望	zhǐwang	to hope for sth, to count on, hope
指南	指南	zhǐnán	to guide, guidebook
指向	指向	zhǐxiàng	head, point to, hold, point, maneuver, direct, steer, gear, pitch, manouevre, guide
指引	指引	zhǐyǐn	to guide, to show, to point (the way), directions, guidance, guidelines
至此	至此	zhìcǐ	up until now, so far
至關重要	至关重要	zhìguānzhòngyào	extremely important, vital, crucial, essential
製	制	zhì	make, manufacture, create
志氣	志气	zhìqi	ambition, resolve, backbone, drive, spirit
制服	制服	zhìfú	uniform
制裁	制裁	zhìcái	sanction, punish
制止	制止	zhìzhǐ	forbear, restrict, oppress, prevention, hold back, inhibit, allay, stop, prevent, staunch, turn back, arrest, stanch, suppress, interdict, discourage, pull_up, abate, blink, quell, restrain, deter, repress, crush, omit, shush, countercheck, check, curb, contain
製品	制品	zhìpǐn	manufacture, ware, facture, manufactured goods, products
質地	质地	zhìdì	texture, background (texture), grain, quality, character, disposition
質問	质问	zhìwèn	interrogate, bombard, pose, heckle, call to account, inquire, interrogation, oppugn, question, quiz, ask
質樸	质朴	zhìpǔ	simple, plain, unadorned, unaffected, unsophisticated, rustic, earthy
質疑	质疑	zhìyí	call in question, challenge
治學	治学	zhìxué	scholarship, high-level study, to do scholarly research, to pursue a high level of study
治癒	治愈	zhìyù	to cure
致敬	致敬	zhìjìng	to greet, to pay respects to
致	致	zhì	incur, cause
致辭	致辞	zhì cí	to express in words or writing, to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc), to address (an audience), same as 致詞|致词
致力於	致力于	zhìlìyú	Dedicate
致富	致富	zhìfù	to become rich
致命	致命	zhìmìng	take off, fatal, deadly, mortal
致使	致使	zhìshǐ	become, render, go, get, result in, cause, make
窒息	窒息	zhìxī	to choke, to stifle, to suffocate
秩序	秩序	zhìxù	order, sequence
智商	智商	zhìshāng	IQ (intelligence quotient)
滯後	滞后	zhìhòu	to lag behind
滯留	滞留	zhìliú	to detain, retention
置	置	zhì	to install, to place, to put, to buy
中國畫	中国画	Zhōngguóhuà	Chinese painting
中途	中途	zhōngtú	halfway, midstream, midway
中立	中立	zhōnglì	neutral
中型	中型	zhōngxíng	medium sized
中性	中性	zhōngxìng	neutral
中旬	中旬	zhōngxún	middle third of a month
中庸	中庸	zhōngyōng	the Doctrine of the Mean, one of the Four Books 四書|四书[Si4 shu1], golden mean (Confucianism), (literary) (of person) mediocre, ordinary
忠誠	忠诚	zhōngchéng	devoted, loyal, fidelity, loyalty
忠實	忠实	zhōngshí	leal, faithful, true
中止	中止	zhōngzhǐ	to cease, to suspend, to break off, to stop, to discontinue
忠於	忠于	zhōngyú	to be loyal to
終結	终结	zhōngjié	end, conclusion, to come to an end, to terminate (sth)
忠貞	忠贞	zhōngzhēn	loyal and dependable
終生	终生	zhōngshēng	all one's life
終究	终究	zhōngjiū	eventually, in the end, after all
腫瘤	肿瘤	zhǒngliú	tumor
衷心	衷心	zhōngxīn	heartfelt, wholehearted, cordial
種族	种族	zhǒngzú	tribe, citizenry, race, nation, phyle, stem, stirp, phylon, ethnos, nationality, ethnic, folk, people, stirps, racial, ethnic group, family
仲裁	仲裁	zhòngcái	arbitration
眾所週知	众所周知	zhòngsuǒzhōuzhī	see 眾所周知|众所周知[zhong4 suo3 zhou1 zhi1]
眾志成城	众志成城	zhòngzhì-chéngchéng	unity of will is an impregnable stronghold (idiom)
眾人	众人	zhòngrén	everybody
重創	重创	zhòngchuāng	to inflict heavy losses, to inflict serious damage
重量級	重量级	zhòngliàngjí	heavyweight (boxing etc)
重傷	重伤	zhòngshāng	seriously hurt, serious injury
重任	重任	zhòngrèn	heavy responsibility
重型	重型	zhòngxíng	heavy, heavy duty, large caliber
