阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
下一代	下一代	xià yī dài	the next generation;  
下意识	下意識	xià yì shí	subconscious mind;  
下游	下遊	xià yoú	lower reaches (of a river); lower level; lower echelon; downstream;  
下坠	下墜	xiàzhùi	Fall
吓唬	嚇唬	xià hu	to scare; to frighten;  
吓人	嚇人	xiàrén	Scary
夏令营	夏令營	xià lìng yíng	summer camp;  
仙鹤	仙鶴	xiān hè	red-crowned crane (Grus japonensis);  
仙女	仙女	xiān nǚ	fairy;  
先例	先例	xiān lì	antecedent; precedent;  
先天	先天	xiān tiān	inborn; innate; natural;  
纤维	縴維	xiān wéi	fiber; CL:種|种[zhong3];  
掀	掀	xiān	to lift (a lid); to rock; to convulse;  
掀起	掀起	xiān qǐ	to lift; to raise in height; to begin; upsurge; to set off (a campaign);  
鲜活	鮮活	xiān huó	vivid; lively; (of food ingredients) live or fresh;  
鲜美	鮮美	xiān měi	delicious; tasty;  
鲜血	鮮血	xiān xuè	blood;  
弦	弦	xián	bow string; string of musical instrument; watchspring; chord (segment of curve); hypotenuse; CL:根[gen1];  
衔接	銜接	xián jiē	to join together; to combine;  
嫌弃	嫌棄	xián qì	to avoid sb (out of dislike); to turn one's back on sb; to ignore;  
嫌疑	嫌疑	xián yí	suspicion; to have suspicions;  
显而易见	顯而易見	xiǎn ér yì jiàn	clearly and easy to see (idiom); obviously; clearly; it goes without saying;  
显赫	顯赫	xiǎn hè	illustrious; celebrated;  
显示器	顯示器	xiǎn shì qì	monitor (computer);  
显现	顯現	xiǎn xiàn	appearance; to appear;  
显眼	顯眼	xiǎn yǎn	conspicuous; eye-catching; glamorous;  
现成	現成	xiàn chéng	ready-made; readily available;  
现任	現任	xiàn rèn	to occupy a post currently; incumbent;  
现行	現行	xiàn xíng	to be in effect; in force; current;  
限	限	xiàn	limit; bound; to set a limit (on);  
限定	限定	xiàn dìng	to restrict to; to limit;  
限度	限度	xiàn dù	limitation; limit;  
限于	限於	xiàn yú	to be limited to; to be confined to;  
线条	綫條	xiàn tiáo	line (in drawing, calligraphy etc); the lines or contours of a three-dimensional object (hairstyle, clothing, car etc);  
宪法	憲法	xiàn fǎ	constitution (of a country); CL:部[bu4];  
陷	陷	xiàn	pitfall; trap; to get stuck; to sink; to cave in; to frame (false charge); to capture (a city in battle); to fall (to the enemy); defect;  
陷阱	陷阱	xiàn jǐng	pitfall; snare; trap;  
馅儿	餡兒	xian4 r5	erhua variant of 餡|馅[xian4];  
羡慕	羨慕	xiàn mù	to envy; to admire;  
献血	獻血	xiàn xuè	to donate blood;  
腺	腺	xiàn	gland;  
乡亲	鄉親	xiāng qīn	fellow countryman (from the same village); local people; villager; the folks back home;  
乡下	鄉下	xiāng xia	countryside; rural area; CL:個|个[ge4];  
相伴	相伴	xiāng bàn	to accompany sb; to accompany each other;  
相比之下	相比之下	xiāng bǐ zhī xià	by comparison;  
相差	相差	xiāng chà	to differ; discrepancy between;  
相传	相傳	xiāng chuán	to pass on; to hand down; tradition has it that ...; according to legend;  
相当于	相當於	xiāng dāng yú	equivalent to;  
相对	相對	xiāng duì	relatively; opposite; to resist; to oppose; relative; vis-a-vis; counterpart;  
相对而言	相對而言	xiāngdùiéryán	Relatively speaking
相辅相成	相輔相成	xiāng fǔ xiāng chéng	to complement one another (idiom);  
相继	相繼	xiāng jì	in succession; following closely;  
相连	相連	xiāng lián	to link; to join; link; connection;  
相识	相識	xiāng shí	to get to know each other; acquaintance;  
相提并论	相提並論	xiāng tí bìng lùn	to discuss two disparate things together (idiom); to mention on equal terms; to place on a par with; (often with negatives: impossible to mention X in the same breath as Y);  
相通	相通	xiāng tōng	interlinked; connected; communicating; in communication; accommodating;  
相依为命	相依為命	xiāng yī wéi mìng	mutually dependent for life (idiom); to rely upon one another for survival; interdependent;  
相遇	相遇	xiāng yù	to meet; to encounter; to come across;  
相约	相約	xiāng yuē	to agree (on a meeting place, date etc); to reach agreement; to make an appointment;  
香料	香料	xiāng liào	spice; flavoring; condiment; perfume;  
香水	香水	xiāng shuǐ	perfume; cologne;  
香味	香味	xiāng wèi	fragrance; bouquet; sweet smell; CL:股[gu3];  
香烟	香煙	xiāng yān	cigarette; smoke from burning incense; CL:支[zhi1],條|条[tiao2];  
香油	香油	xiāng yoú	sesame oil; perfumed oil;  
镶	鑲	xiāng	to inlay; to embed; ridge; border;  
镶嵌	鑲嵌	xiāng qiàn	to inlay; to embed; to set (e.g. a jewel in a ring); tiling; tesselation;  
详尽	詳盡	xiáng jìn	thorough and detailed; exhaustive; the tedious details in full;  
祥和	祥和	xiáng hé	auspicious and peaceful;  
享	享	xiǎng, xiǎng	old variant of 享[xiang3];  
享有	享有	xiǎng yoǔ	to enjoy (rights, privileges etc);  
响亮	響亮	xiǎng liàng	loud and clear; resounding;  
响起	響起	xiǎngqǐ	Sound
响应	響應	xiǎng yìng	to respond to; answer; CL:個|个[ge4];  
想方设法	想方設法	xiǎng fāng shè fǎ	to think up every possible method (idiom); to devise ways and means; to try this, that and the other;  
向来	嚮來	xiàng lái	always (previously);  
向往	嚮往	xiàng wǎng	to yearn for; to look forward to;  
向着	嚮著	xiàngzháo	Toward
项链	項鏈	xiàng liàn	necklace; CL:條|条[tiao2];  
像	像	xiàng	to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.);  
像样	像樣	xiàng yàng	presentable; decent; up to par;  
橡胶	橡膠	xiàng jiāo	rubber; caoutchouc;  
橡皮	橡皮	xiàng pí	rubber; an eraser; CL:塊|块[kuai4];  
削	削	xiāo, xuē	to peel with a knife; to pare; to cut (a ball at tennis etc);  to pare; to reduce; to remove; Taiwan pr. [xue4];  
消	消	xiāo	to disappear; to vanish; to eliminate; to spend (time); have to; need;  
消沉	消沉	xiāo chén	depressed; bad mood; low spirit;  
消遣	消遣	xiāo qiǎn	to while the time away; amusement; pastime; recreation; to make sport of;  
萧条	蕭條	xiāo tiáo	bleak; desolate; (economic) depression or slump;  
销	銷	xiāo	to melt (metal); to cancel or annul; to sell; to spend; to fasten with a bolt; bolt or pin;  
销毁	銷毀	xiāo huǐ	to destroy (by melting or burning); to obliterate;  
销量	銷量	xiāo liàng	sales volume;  
潇洒	瀟灑	xiāo sǎ	confident and at ease; free and easy;  
小丑	小醜	xiǎo choǔ	clown;  
小贩	小販	xiǎo fàn	peddler; hawker;  
小看	小看	xiǎo kàn	to look down on; to underestimate;  
小康	小康	Xiǎo kāng, xiǎo kāng	Xiaokang, a Confucian near-ideal state of society, second only to Datong 大同[Da4 tong2];  moderately affluent; well-off; a period of peace and prosperity;  
小路	小路	xiǎo lù	minor road; lane; pathway; trail;  
小品	小品	xiǎo pǐn	short, simple literary or artistic creation; essay; skit;  
小气	小氣	xiǎo qì	stingy; petty; miserly; narrow-minded;  
小区	小區	xiǎo qū	neighborhood; district;  
小曲	小麯	xiǎo qǔ	popular song; folk tune; ballad;  
小人	小人	xiǎo rén	person of low social status (old); I, me (used to refer humbly to oneself); nasty person; vile character;  
小提琴	小提琴	xiǎo tí qín	fiddle; violin;  
小溪	小溪	xiǎo xī	brook; streamlet;  
小心翼翼	小心翼翼	xiǎo xīn yì yì	cautious and solemn (idiom); very carefully; prudent; gently and cautiously;  
小卒	小卒	xiǎo zú	foot soldier; minor figure; a nobody; (chess) pawn;  
孝敬	孝敬	xiào jìng	to show filial respect; to give presents (to one's elders or superiors); to support one's aged parents;  
孝顺	孝順	xiào shùn	filial piety; to be obedient to one's parents;  
肖像	肖像	xiào xiàng	portrait (painting, photo etc); (in a general sense) representation of a person; likeness;  
效仿	效仿	xiào fǎng	see 仿傚|仿效[fang3 xiao4];  
效力	效力	xiào lì	effectiveness; positive effect; to serve (in some capacity);  
效益	效益	xiào yì	benefit; effectiveness; efficiency;  
效应	效應	xiào yìng	effect (scientific phenomenon);  
协定	協定	xié dìng	(reach an) agreement; protocol;  
协同	協同	xié tóng	to cooperate; in coordination with; coordinated; collaborate; collaboration; collaborative;  
协作	協作	xié zuò	cooperation; coordination;  
邪	邪	xié, xié	demonic; iniquitous; nefarious; evil; unhealthy influences that cause disease (Chinese medicine);  
邪恶	邪惡	xié è	sinister; vicious; wicked; evil;  
挟持	挾持	xié chí	to seize;  
携带	攜帶	xié dài	to carry (on one's person); to support (old); Taiwan pr. [xi1 dai4];  
携手	攜手	xié shoǔ	hand in hand; to join hands; to collaborate;  
写照	寫照	xiě zhào	portrayal;  
泄	泄	xiè, xiè	variant of 泄[xie4];  
泄漏	泄漏	xiè loù	(of a liquid or gas) to leak; to divulge (a secret); to leak;  
泄露	泄露	xiè lù	to leak (information); to divulge; also pr. [xie4 lou4];  
泄密	泄密	xiè mì	to leak secrets;  
泄气	泄氣	xiè qì	to leak (gas); to be discouraged; to despair; (disparaging) pathetic; to vent one's anger; (of a tire) to be flat;  
泻	瀉	xiè	to flow out swiftly; to flood; a torrent; diarrhea; laxative;  
卸	卸	xiè	to unload; to unhitch; to remove or strip; to get rid of;  
心爱	心愛	xīn ài	beloved;  
心安理得	心安理得	xīn ān lǐ dé	to have a clear conscience; to have no qualms about sth;  
心病	心病	xīn bìng	anxiety; sore point; secret worry; mental disorder; heart disease (medicine);  
心肠	心腸	xīn cháng	heart; intention; one's inclination; state of mind; to have the heart for sth; mood;  
心得	心得	xīn dé	what one has learned (through experience, reading etc); knowledge; insight; understanding; tips; CL:項|项[xiang4],個|个[ge4];  
心慌	心慌	xīn huāng	to be flustered; (dialect) irregular heart-beat;  
心急如焚	心急如焚	xīnjírúfén	Anxious
心里话	心裏話	xīn li huà	(to express one's) true feelings; what is on one's mind; secret mind;  
心灵手巧	心靈手巧	xīn líng shoǔ qiǎo	capable; clever; dexterous;  
心目	心目	xīn mù	mind; view;  
心声	心聲	xīn shēng	thoughts; feelings; aspirations; heartfelt wishes; inner voice;  
心事	心事	xīn shì	a load on one's mind; worry; CL:宗[zong1],樁|桩[zhuang1];  
心思	心思	xīn si	mind; thoughts; inclination; mood;  
心酸	心酸	xīn suān	to feel sad;  
心想事成	心想事成	xīn xiǎng shì chéng	to have one's wishes come true; wish you the best!;  
心胸	心胸	xīn xiōng	breadth of mind;  
心血	心血	xīn xuè	heart's blood; expenditure (for some project); meticulous care;  
心眼儿	心眼兒	xin1 yan3 r5	one's thoughts; mind; intention; willingness to accept new ideas; baseless suspicions;  
心意	心意	xīn yì	regard; kindly feelings; intention;  
芯片	芯片	xīn piàn	computer chip; microchip;  
辛勤	辛勤	xīn qín	hardworking; industrious;  
辛酸	辛酸	xīn suān	pungent (taste); bitter; fig. sad; miserable;  
欣慰	欣慰	xīn wèi	to be gratified;  
欣喜	欣喜	xīn xǐ	happy;  
欣欣向荣	欣欣嚮榮	xīn xīn xiàng róng	luxuriant growth (idiom); flourishing; thriving;  
新潮	新潮	xīn cháo	modern; fashionable;  
新陈代谢	新陳代謝	xīn chén dài xiè	metabolism (biology); the new replaces the old (idiom);  
新房	新房	xīn fáng	brand new house; bridal chamber;  
新款	新款	xīn kuǎn	new style; latest fashion; new model;  
新奇	新奇	xīn qí	novelty; new and odd;  
新生	新生	xīn shēng	new; newborn; emerging; nascent; rebirth; regeneration; new life; new student;  
新式	新式	xīn shì	new style; latest type;  
新手	新手	xīn shoǔ	new hand; novice; raw recruit;  
新颖	新穎	xīn yǐng	lit. new bud; fig. new and original;  
信贷	信貸	xìn dài	credit; borrowed money;  
信件	信件	xìn jiàn	letter (sent by mail);  
信赖	信賴	xìn lài	to trust; to have confidence in; to have faith in; to rely on;  
信誉	信譽	xìn yù	prestige; distinction; reputation; trust;  
兴奋剂	興奮劑	xīng fèn jì	stimulant; doping (in athletics);  
兴建	興建	xīng jiàn	to build; to construct;  
兴起	興起	xīng qǐ	to rise; to spring up; to burgeon; to be aroused; to come into vogue;  
星座	星座	xīng zuò	constellation; astrological sign; CL:張|张[zhang1];  
猩猩	猩猩	xīng xing	orangutan;  
腥	腥	xīng	fishy (smell);  
刑法	刑法	xíng fǎ	criminal law;  
行使	行使	xíng shǐ	to exercise (a right etc);  
行政	行政	xíng zhèng	administrative; executive (attributive);  
行走	行走	xíng zoǔ	to walk;  
形形色色	形形色色	xíng xíng sè sè	all kinds of; all sorts of; every (different) kind of;  
形影不离	形影不離	xíng yǐng bù lí	inseparable (as form and shadow);  
醒来	醒來	xǐng lái	to waken;  
醒目	醒目	xǐng mù	eye-grabbing (headline); striking (illustration);  
醒悟	醒悟	xǐng wù	to come to oneself; to come to realize; to come to see the truth; to wake up to reality;  
兴高采烈	興高采烈	xìng gāo cǎi liè	happy and excited (idiom); in high spirits; in great delight;  
兴致	興緻	xìng zhì	mood; spirits; interest;  
幸存	幸存	xìng cún	survivor (of a disaster);  
幸好	幸好	xìng hǎo	fortunately;  
幸亏	幸虧	xìng kuī	fortunately; luckily;  
幸免	幸免	xìng miǎn	narrowly and luckily escape;  
性价比	性價比	xìng jià bǐ	quality-price ratio;  
性命	性命	xìng mìng	life;  
性情	性情	xìng qíng	nature; temperament;  
姓氏	姓氏	xìng shì	family name;  
凶残	凶殘	xiōng cán, xiōng cán	savage;  
凶恶	凶惡	xiōng è, xiōng è	variant of 兇惡|凶恶, fierce; ferocious; fiendish; frightening;  
凶狠	凶狠	xiōng hěn, xiōng hěn	cruel; vicious; fierce and malicious; vengeful;  
凶猛	凶猛	xiōng měng	fierce; violent; ferocious;  
汹涌	洶湧	xiōng yǒng	to surge up violently (of ocean, river, lake etc); turbulent;  
胸膛	胸膛	xiōng táng	chest;  
胸有成竹	胸有成竹	xiōng yoǔ chéng zhú	to plan in advance (idiom); a card up one's sleeve; forewarned is forearmed;  
雄厚	雄厚	xióng hoù	robust; strong and solid;  
休克	休剋	xiū kè	shock (loanword); to go into shock;  
休眠	休眠	xiū mián	to be dormant (biology); inactive (volcano); to hibernate (computing);  
休想	休想	xiū xiǎng	don't think (that); don't imagine (that);  
休养	休養	xiū yǎng	to recuperate; to recover; to convalesce;  
修补	修補	xiū bǔ	to mend;  
修长	修長	xiū cháng	slender; lanky; tall and thin;  
修订	修訂	xiū dìng	to revise;  
修路	修路	xiū lù	to repair a road;  
修正	修正	xiū zhèng	to revise; to amend;  
羞愧	羞愧	xiū kuì	ashamed;  
秀丽	秀麗	xiù lì	pretty; beautiful;  
秀美	秀美	xiù měi	elegant; graceful;  
袖手旁观	袖手旁觀	xiù shoǔ páng guān	to watch with folded arms (idiom); to look on without lifting a finger;  
绣	綉	xiù, xiù	to embroider; embroidery;  
锈	銹	xiù	to corrode; to rust;  
嗅觉	嗅覺	xiù jué	sense of smell;  
须	須	xū, xū	beard; mustache; feeler (of an insect etc); tassel;  
虚	虛	xū	emptiness; void; abstract theory or guiding principles; empty or unoccupied; diffident or timid; false; humble or modest; (of health) weak; virtual; in vain;  
虚构	虛構	xū goù	to make up; fabrication; fictional; imaginary;  
虚幻	虛幻	xū huàn	imaginary; illusory;  
虚假	虛假	xū jiǎ	false; phony; pretense;  
虚拟	虛擬	xū nǐ	to imagine; to make up; fictitious; theoretical; hypothetical; (computing) to emulate; virtual;  
虚弱	虛弱	xū ruò	weak; in poor health;  
虚伪	虛僞	xū wěi	false; hypocritical; artificial; sham;  
需	需	xū	to require; to need; to want; necessity; need;  
徐徐	徐徐	xú xú	slowly; gently;  
许	許	Xǔ, xǔ	surname Xu;  to allow; to permit; to promise; to praise; somewhat; perhaps;  
许可证	許可證	xǔ kě zhèng	license; authorization; permit;  
旭日	旭日	xù rì	the rising sun;  
序	序	xù	order; sequence; preface;  
序幕	序幕	xù mù	prologue;  
叙述	敘述	xù shù	to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account;  
酗酒	酗酒	xù jiǔ	heavy drinking; to get drunk; to drink to excess;  
续	續	xù	to continue; to replenish;  
絮叨	絮叨	xù dao	long-winded; garrulous; to talk endlessly without getting to the point;  
宣称	宣稱	xuān chēng	to assert; to claim;  
宣读	宣讀	xuān dú	to read out loud to an audience; a prepared speech (e.g. to a party conference);  
宣告	宣告	xuān gào	to declare; to proclaim;  
宣誓	宣誓	xuān shì	to swear an oath (of office); to make a vow;  
宣泄	宣泄	xuān xiè	to drain (by leading off water); to unburden oneself; to divulge; to leak a secret;  
宣言	宣言	xuān yán	declaration; manifesto;  
宣扬	宣揚	xuān yáng	to proclaim; to make public or well known;  
喧哗	喧嘩	xuān huá	hubbub; clamor; to make a racket;  
喧闹	喧鬧	xuān nào	to make a noise; noisy;  
玄	玄	xuán	black; mysterious;  
玄机	玄機	xuán jī	profound theory (in Daoism and Buddhism); mysterious principles;  
悬挂	懸掛	xuán guà	to suspend; to hang; (vehicle) suspension;  
悬念	懸念	xuán niàn	suspense in a movie, play etc; concern for sb's welfare;  
悬殊	懸殊	xuán shū	widely different; large disparity;  
悬崖	懸崖	xuán yá	precipice; overhanging cliff;  
旋律	鏇律	xuán lǜ	melody; rhythm;  
旋涡	鏇渦	xuán wō	spiral; whirlpool; eddy; vortex;  
选民	選民	xuǎn mín	voter; constituency; electorate;  
选项	選項	xuǎn xiàng	to make a choice (between several alternatives); a choice; an option; an alternative;  
选用	選用	xuǎn yòng	to choose for some purpose; to select and use;  
炫耀	炫耀	xuàn yào	dazzling; to show off; to flaunt;  
削弱	削弱	xuē ruò	to weaken; to impair; to cripple;  
靴子	靴子	xuē zi	boots;  
穴位	穴位	xué wèi	acupuncture point;  
学历	學曆	xué lì	educational background; academic qualifications;  
学士	學士	xué shì	bachelor's degree; person holding a university degree;  
学说	學說	xué shuō	theory; doctrine;  
学堂	學堂	xué táng	college; school (old);  
学业	學業	xué yè	studies; schoolwork;  
学艺	學藝	xué yì	to learn a skill or art;  
学子	學子	xué zǐ	(literary) student; scholar;  
雪山	雪山	xuěshān	Snow mountain
雪上加霜	雪上加霜	xuě shàng jiā shuāng	to add hail to snow (idiom); one disaster on top of another; to make things worse in a bad situation;  
血脉	血脈	xuè mài	blood vessels;  
血栓	血栓	xuè shuān	blood clot; thrombosis;  
血压	血壓	xuè yā	blood pressure;  
血缘	血緣	xuè yuán	bloodline;  
勋章	勛章	xūn zhāng	medal; decoration;  
熏	熏	xūn, xūn, xūn	fragrance; warm; to educate; variant of 熏[xun1]; to smoke; to fumigate;  
熏陶	熏陶	xūn táo	to seep in; to influence; to nurture; influence; training;  
寻	尋	xún	to search; to look for; to seek;  
寻常	尋常	xún cháng	usual; common; ordinary;  
寻觅	尋覓	xún mì	to look for;  
巡逻	巡邏	xún luó	to patrol (police, army or navy);  
循序渐进	循序漸進	xún xù jiàn jìn	in sequence, step by step (idiom); to make steady progress incrementally;  
训	訓	xùn	to teach; to train; to admonish; instruction (from superiors); teachings; rule;  
驯	馴	xùn	to attain gradually; to tame; Taiwan pr. [xun2];  
逊色	遜色	xùn sè	inferior (often in the combination 毫無遜色|毫无逊色, not in the least inferior);  
丫头	丫頭	yā tou	girl; servant girl; (used deprecatingly, but sometimes also as a term of endearment);  
压倒	壓倒	yā dǎo	to overwhelm; to overpower; overwhelming;  
压缩	壓縮	yā suō	to compress; compression;  
压抑	壓抑	yā yì	to constrain or repress emotions; oppressive; stifling; depressing; repression;  
压制	壓製	yā zhì	to suppress; to inhibit; to stifle;  
押	押	yā	to mortgage; to pawn; to detain in custody; to escort and protect; (literary) to sign;  
鸦雀无声	鴉雀無聲	yā què wú shēng	lit. crow and peacock make no sound; absolute silence (idiom); not a single voice can be heard; absolute silence;  
牙齿	牙齒	yá chǐ	tooth; dental; CL:顆|颗[ke1];  
牙膏	牙膏	yá gāo	toothpaste; CL:管[guan3];  
芽	芽	yá	bud; sprout;  
哑	啞	yā, yǎ	(onom.) sound of cawing; sound of infant learning to talk; variant of 呀[ya1];  dumb; mute; hoarse; husky; unexploded (of artillery shell etc);  
咽喉	咽喉	yān hoú	throat;  
烟囱	煙囪	yān cōng	chimney;  
烟火	煙火	yān huǒ	smoke and fire; fireworks;  
淹	淹	yān	to flood; to submerge; to drown; to irritate the skin (of liquids); to delay;  
延	延	Yán, yán	surname Yan;  to prolong; to extend; to delay;  
延缓	延緩	yán huǎn	to defer; to postpone; to put off; to retard; to slow sth down;  
延误	延誤	yán wu	to delay; to be held up; to miss (an opportunity); delay; holdup;  
严谨	嚴謹	yán jǐn	rigorous; strict; careful; cautious; compact; well-knit;  
严禁	嚴禁	yán jìn	to strictly prohibit;  
严峻	嚴峻	yán jùn	grim; severe; rigorous;  
严密	嚴密	yán mì	strict; tight (organization, surveillance etc);  
言辞	言辭	yán cí	words; expression; what one says;  
言论	言論	yán lùn	expression of opinion; views; remarks; arguments;  
言行	言行	yán xíng	words and actions; what one says and what one does;  
岩石	岩石	yán shí	rock;  
炎热	炎熱	yán rè	blistering hot; sizzling hot (weather);  
炎症	炎癥	yán zhèng	inflammation;  
沿岸	沿岸	yán àn	coastal area; littoral or riparian;  
沿途	沿途	yán tú	along the sides of the road; by the wayside;  
沿线	沿綫	yán xiàn	along the line (e.g. railway); the region near the line;  
研讨	研討	yán tǎo	discussion;  
阎王	閻王	Yán wáng	same as 閻羅王|阎罗王; Yama, King of Hell; translation of Sanskrit: Yama Raja;  
衍生	衍生	yǎn shēng	to give rise to; to derive; derivative; derivation;  
掩盖	掩蓋	yǎn gài	to conceal; to hide behind; to cover up;  
掩护	掩護	yǎn hù	to screen; to shield; to cover; protection; cover; CL:面[mian4];  
掩饰	掩飾	yǎn shì	to cover up; to conceal; to mask; to gloss over;  
眼红	眼紅	yǎn hóng	to covet; envious; jealous; green with envy; infuriated; furious;  
眼界	眼界	yǎn jiè	ken; scope;  
眼色	眼色	yǎn sè	signal made with one's eyes; meaningful glance;  
眼神	眼神	yǎn shén	expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (dialect);  
眼下	眼下	yǎn xià	now; at present; subocular (medicine);  
演变	演變	yǎn biàn	to develop; to evolve; development; evolution;  
演播室	演播室	yǎn bō shì	broadcasting studio;  
演技	演技	yǎn jì	acting; performing skills;  
演练	演練	yǎn liàn	drill; practice;  
演示	演示	yǎn shì	to demonstrate; to show; presentation; demonstration;  
演说	演說	yǎn shuō	speech; to deliver a speech;  
演习	演習	yǎn xí	maneuver; exercise; practice; to maneuver;  
演戏	演戲	yǎn xì	to put on a play; to perform; fig. to pretend; to feign;  
演艺圈	演藝圈	yǎn yì quān	show business;  
演绎	演繹	yǎn yì	(of a story etc) to unfold; to play out; to develop (a technique etc); to enact; (logic) to deduce; to infer;  
厌烦	厭煩	yàn fán	bored; fed up with sth; sick of sth;  
厌倦	厭倦	yàn juàn	to be weary of; to be fed up with; tedious;  
咽	咽	yān, yàn, yè, yàn	narrow pass; throat; pharynx;  to swallow;  to choke (in crying);  
艳丽	艷麗	yàn lì	gorgeous; garish and beautiful;  
验	驗	yàn, yàn	to examine; to test; to check;  
验收	驗收	yàn shoū	to inspect and accept; acceptance;  
验证	驗證	yàn zhèng	to inspect and verify; experimental verification; to validate (a theory); to authenticate;  
焰火	焰火	yàn huǒ	fireworks;  
燕子	燕子	yàn zi	swallow;  
秧歌	秧歌	yāng ge	Yangge, a popular rural folk dance;  
扬	揚	Yáng, yáng, yáng	abbr. for 揚州|扬州[Yang2 zhou1]; surname Yang;  variant of 揚|扬[yang2];  
阳性	陽性	yáng xìng	positive; masculine;  
杨树	楊樹	yáng shù	poplar tree; various trees of genus Populus;  
洋溢	洋溢	yáng yì	brimming with; steeped in;  
养活	養活	yǎng huo	to provide for; to keep (animals, a family etc); to raise animals; to feed and clothe; support; the necessities of life; to give birth;  
养老金	養老金	yǎng lǎo jīn	pension;  
养老院	養老院	yǎng lǎo yuàn	nursing home;  
养生	養生	yǎng shēng	to maintain good health; to raise a child or animal; curing (of concrete etc);  
养殖	養殖	yǎng zhí	to cultivate; cultivation; to further; to encourage;  
氧	氧	yǎng	oxygen (chemistry);  
痒	癢	yǎng, yǎng	to itch; to tickle;  
样本	樣本	yàng běn	sample; specimen;  
样品	樣品	yàng pǐn	sample; specimen;  
妖怪	妖怪	yāo guài	monster; devil;  
邀	邀	yāo	to invite; to request; to intercept; to solicit; to seek;  
窑	窯	yáo, yáo	variant of 窯|窑[yao2];  
谣言	謠言	yáo yán	rumor;  
摇摆	搖擺	yáo bǎi	to sway; to wobble; to waver;  
摇滚	搖滾	yáo gǔn	rock 'n' roll (music); to rock; to fall off;  
摇晃	搖晃	yáo huàng	to rock; to shake; to sway;  
摇篮	搖籃	yáo lán	cradle;  
摇摇欲坠	搖搖欲墜	yáo yáo yù zhuì	tottering; on the verge of collapse;  
遥控	遙控	yáo kòng	remote control;  
遥远	遙遠	yáo yuǎn	distant; remote;  
药材	藥材	yào cái	drug ingredients;  
药方	藥方	yào fāng	prescription;  
要不	要不	yào bù	otherwise; or else; how about...?; either... (or...);  
要不是	要不是	yào bu shì	if it were not for; but for;  
要点	要點	yào diǎn	main point; essential;  
要害	要害	yào hài	vital part; (fig.) key point; crucial;  
要紧	要緊	yào jǐn	important; urgent;  
要领	要領	yào lǐng	main aspects; essentials; gist;  
要命	要命	yào mìng	to cause sb's death; very; extremely; frightening; annoying;  
要强	要強	yào qiáng	eager to excel; eager to get ahead in life; strong-minded;  
钥匙	鑰匙	yào shi	key; CL:把[ba3];  
耀眼	耀眼	yào yǎn	to dazzle; dazzling;  
椰子	椰子	yē zi	coconut;  
也就是说	也就是說	yě jiù shì shuō	in other words; that is to say; so; thus;  
野餐	野餐	yě cān	picnic; to have a picnic;  
野炊	野炊	yěchūi	Picnic
野蛮	野蠻	yě mán	barbarous; uncivilized;  
野兽	野獸	yě shoù	beast; wild animal;  
野外	野外	yě wài	countryside; areas outside the city;  
野心	野心	yě xīn	ambition; wild schemes; careerism;  
野营	野營	yě yíng	to camp; field lodgings;  
业	業	Yè, yè	surname Ye;  line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already;  
业绩	業績	yè jì	achievement; accomplishment; (in more recent usage) performance (of a business, employee etc); results;  
夜班	夜班	yè bān	night shift;  
夜市	夜市	yè shì	night market;  
夜晚	夜晚	yè wǎn	night; CL:個|个[ge4];  
夜校	夜校	yè xiào	evening school; night school;  
夜以继日	夜以繼日	yè yǐ jì rì	night and day (idiom); continuous strenuous effort;  
夜总会	夜總會	yè zǒng huì	nightclub; nightspot;  
液晶	液晶	yè jīng	liquid crystal;  
液体	液體	yè tǐ	liquid;  
一把手	一把手	yī bǎ shoǔ	working hand; member of a work team; participant;  
一线	一綫	yī xiàn	front line;  
一一	一一	yī yī	one by one; one after another;  
伊斯兰教	伊斯蘭教	Yī sī lán jiào	Islam;  
衣食住行	衣食住行	yī shí zhù xíng	clothing, food, housing and transport (idiom); people's basic needs;  
医务	醫務	yī wù	medical affairs;  
依	依	yī	to depend on; to comply with or listen to sb; according to; in the light of;  
依托	依托	yī tuō	to rely on; to depend on;  
依依不舍	依依不捨	yī yī bù shě	reluctant to part (idiom); broken-hearted at having to leave;  
一不小心	一不小心	yībùxiǎoxīn	Unclear
一刹那	一刹那	yīchànà	A flash
一大早	一大早	yī dà zǎo	at dawn; at first light; first thing in the morning;  
一动不动	一動不動	yī dòng bù dòng	motionless;  
一度	一度	yī dù	for a time; at one time; one time; once;  
一概	一概	yī gài	all; without any exceptions; categorically;  
一概而论	一概而論	yī gài ér lùn	to lump different matters together (idiom);  
一个劲儿	一個勁兒	yi1 ge4 jin4 r5	erhua variant of 一個勁|一个劲[yi1 ge4 jin4];  
一晃	一晃	yī huǎng	(of passing time) in an instant; (of a sight) in a flash;  
一技之长	一技之長	yī jì zhī cháng	proficiency in a particular field (idiom); skill in a specialized area (idiom);  
一面	一麵	yī miàn	one side; one aspect; simultaneously... (and...); one's whole face;  
一目了然	一目瞭然	yī mù liǎo rán, yī mù liǎo rán	obvious at a glance (idiom);  
